iter	Logloss
0	0.6616075302
1	0.6331690056
2	0.6072071381
3	0.5837882597
4	0.5649349754
5	0.5451645491
6	0.52749298
7	0.5107871574
8	0.4957631646
9	0.4819546041
10	0.4709580585
11	0.4592907301
12	0.449193717
13	0.4392804585
14	0.4308084237
15	0.4223886043
16	0.4151937178
17	0.4079728941
18	0.4013847471
19	0.3955882667
20	0.3902249014
21	0.3854827222
22	0.3801684606
23	0.3757568196
24	0.3716016985
25	0.3680753074
26	0.365189453
27	0.3619567886
28	0.3589831019
29	0.3559697053
30	0.3525824876
31	0.3495959943
32	0.347446965
33	0.3447159213
34	0.3424696935
35	0.3402184954
36	0.3382058621
37	0.3360566424
38	0.3340296935
39	0.3327182115
40	0.3313267883
41	0.3300776861
42	0.328819384
43	0.3271091253
44	0.3257477911
45	0.3243778411
46	0.3231333139
47	0.3216967685
48	0.3209298613
49	0.3197317752
50	0.3187544453
51	0.3179546572
52	0.3164404616
53	0.3154656491
54	0.3145374423
55	0.3134540712
56	0.3117803764
57	0.3105064641
58	0.3095391942
59	0.3086284292
60	0.3079091609
61	0.3071209469
62	0.3063549847
63	0.3056356927
64	0.3048690107
65	0.3041433714
66	0.303429413
67	0.3028438179
68	0.3023703122
69	0.3015628133
70	0.3007796466
71	0.3002561218
72	0.2994159672
73	0.2988443515
74	0.2981864012
75	0.2974586415
76	0.2968815755
77	0.2957118107
78	0.2946447179
79	0.294109348
80	0.2935578011
81	0.2932093916
82	0.2925096072
83	0.2916454381
84	0.2912236415
85	0.2908034939
86	0.2903319614
87	0.2899271699
88	0.2890441586
89	0.2882376725
90	0.2878220751
91	0.2870611514
92	0.2863845368
93	0.2858887842
94	0.2852823854
95	0.2847747456
96	0.2841194719
97	0.2832200042
98	0.2828706543
99	0.2824284076
100	0.2819812722
101	0.2814737306
102	0.2807782843
103	0.2803288016
104	0.279977712
105	0.2796291729
106	0.2793878251
107	0.2790919687
108	0.2786729653
109	0.2784029315
110	0.278114923
111	0.2778569313
112	0.2775524598
113	0.2772373299
114	0.2767510059
115	0.2763123321
116	0.2760851945
117	0.2756946304
118	0.2751735536
119	0.2747397863
120	0.2743296916
121	0.2739855923
122	0.2737144976
123	0.2732793753
124	0.2729784083
125	0.27264291
126	0.2722480734
127	0.2719137516
128	0.2715982265
129	0.2712401291
130	0.2709415701
131	0.2705790439
132	0.2703395056
133	0.2700219052
134	0.2696903735
135	0.2694871842
136	0.2691441799
137	0.2687662821
138	0.2683637241
139	0.2679611792
140	0.2676693668
141	0.2673094545
142	0.2670153545
143	0.2667961876
144	0.2663189412
145	0.2658056597
146	0.2654352617
147	0.2650105012
148	0.2648089089
149	0.2644667538
150	0.2641389067
151	0.2637586938
152	0.2633645153
153	0.2631383003
154	0.2628651895
155	0.2626652384
156	0.2623595952
157	0.2621823313
158	0.2619811781
159	0.2615000237
160	0.2612621516
161	0.2610938587
162	0.2608569343
163	0.2605303088
164	0.2600990427
165	0.2597063202
166	0.259538589
167	0.2592744266
168	0.2590775717
169	0.2587540887
170	0.2585769911
171	0.2582063011
172	0.2579377503
173	0.2577807962
174	0.2574950801
175	0.2572027851
176	0.2570018361
177	0.2566768229
178	0.256368115
179	0.2560503766
180	0.2554190202
181	0.2551993393
182	0.2550060574
183	0.2547711017
184	0.254636932
185	0.2544553879
186	0.2542361405
187	0.2540113927
188	0.2538375332
189	0.2533987107
190	0.2531903716
191	0.2530287249
192	0.2527248067
193	0.2525265614
194	0.2523025259
195	0.25209078
196	0.2519208084
197	0.2517117285
198	0.2515547342
199	0.2513678135
200	0.2510770942
201	0.2508119188
202	0.2506247597
203	0.2503192312
204	0.2500134192
205	0.249784397
206	0.2495732332
207	0.2494015897
208	0.2490237542
209	0.2487652059
210	0.248627583
211	0.2483629558
212	0.2481765055
213	0.2479474904
214	0.2477542627
215	0.2476317307
216	0.2474431958
217	0.247162588
218	0.2469093008
219	0.2465964372
220	0.24620054
221	0.24591323
222	0.245718116
223	0.2454569903
224	0.2453374413
225	0.2450708202
226	0.244882298
227	0.2447283643
228	0.2445313497
229	0.2443032963
230	0.244145791
231	0.2438929388
232	0.2436928959
233	0.2434953501
234	0.2433705185
235	0.2430647746
236	0.2429017564
237	0.2427758784
238	0.2423970734
239	0.2421623712
240	0.242033279
241	0.2418516802
242	0.2415982898
243	0.2414877388
244	0.2412790394
245	0.241135389
246	0.2409704847
247	0.2408142175
248	0.2406428049
249	0.2403700308
250	0.2401678782
251	0.2400802265
252	0.239930659
253	0.239755991
254	0.2393604317
255	0.239182333
256	0.2389525988
257	0.2387161566
258	0.2383498551
259	0.2381509827
260	0.2380019836
261	0.2379119192
262	0.2376813848
263	0.2374571568
264	0.23723421
265	0.2369882422
266	0.2368027921
267	0.236537415
268	0.2363990625
269	0.2362584243
270	0.2361304464
271	0.2357704416
272	0.2355303089
273	0.2353369282
274	0.2350734301
275	0.2349256066
276	0.2347158695
277	0.2345336583
278	0.2343653554
279	0.2342029643
280	0.2340126679
281	0.2338876414
282	0.2337147195
283	0.2336127428
284	0.2333797393
285	0.2330412978
286	0.2327976799
287	0.2325597016
288	0.2324326179
289	0.2321989515
290	0.2319597229
291	0.2318151298
292	0.2317347945
293	0.2315747962
294	0.2314595643
295	0.2313113156
296	0.2312006505
297	0.2308896232
298	0.2306651902
299	0.230535416
300	0.2302610592
301	0.2300633306
302	0.2298585978
303	0.2296351577
304	0.2294697591
305	0.2291647623
306	0.2289697384
307	0.228786435
308	0.228544559
309	0.2283563064
310	0.2281865982
311	0.2280034673
312	0.2277790997
313	0.2274441959
314	0.2272546827
315	0.2270993519
316	0.2269173975
317	0.2266802441
318	0.226541905
319	0.2264117077
320	0.2262644904
321	0.2260393465
322	0.2257796031
323	0.2255282933
324	0.2253603841
325	0.2251128552
326	0.2249560622
327	0.2247982771
328	0.2246621275
329	0.2245029777
330	0.2242552704
331	0.2240713348
332	0.2239605841
333	0.2238231511
334	0.2236480215
335	0.2234281163
336	0.2231194459
337	0.2229138032
338	0.2226607315
339	0.2224022193
340	0.2222484199
341	0.2220341235
342	0.2219230373
343	0.2216729388
344	0.2214890334
345	0.2213084746
346	0.2211620089
347	0.2208841026
348	0.2207656414
349	0.220408228
350	0.2202300194
351	0.2200866557
352	0.2199710078
353	0.2198003936
354	0.2196521401
355	0.2193862815
356	0.2192049561
357	0.2189617183
358	0.2187749447
359	0.2186240341
360	0.2184809256
361	0.2183123298
362	0.2180427878
363	0.2177641054
364	0.217475581
365	0.2172917974
366	0.2169943159
367	0.2166713902
368	0.2165522454
369	0.2163933013
370	0.216201959
371	0.2160288681
372	0.2158568381
373	0.2156748963
374	0.2155015893
375	0.2153396945
