iter	Passed	Remaining
0	4	4715
1	7	3802
2	10	3371
3	13	3317
4	16	3222
5	19	3154
6	22	3212
7	25	3127
8	27	3057
9	30	3034
10	33	2979
11	35	2954
12	38	2939
13	41	2900
14	43	2880
15	46	2880
16	49	2854
17	52	2870
18	55	2863
19	58	2848
20	60	2832
21	63	2844
22	66	2824
23	69	2820
24	72	2842
25	75	2832
26	78	2824
27	80	2809
28	84	2842
29	87	2842
30	90	2836
31	93	2826
32	96	2836
33	99	2823
34	101	2810
35	105	2834
36	108	2822
37	111	2816
38	113	2803
39	117	2812
40	120	2819
41	123	2808
42	125	2796
43	128	2789
44	131	2783
45	133	2777
46	136	2769
47	139	2757
48	141	2751
49	144	2742
50	146	2732
51	149	2726
52	152	2727
53	155	2728
54	158	2718
55	160	2709
56	163	2703
57	166	2697
58	168	2693
59	171	2686
60	173	2676
61	176	2674
62	179	2668
63	182	2663
64	184	2660
65	187	2653
66	190	2647
67	192	2642
68	195	2642
69	198	2641
70	201	2639
71	204	2631
72	206	2624
73	209	2616
74	211	2610
75	214	2608
76	217	2602
77	219	2596
78	222	2597
79	225	2592
80	227	2584
81	230	2579
82	233	2578
83	236	2582
84	240	2588
85	242	2581
86	245	2580
87	248	2578
88	251	2574
89	253	2567
90	256	2561
91	259	2561
92	261	2555
93	264	2550
94	267	2546
95	270	2543
96	272	2537
97	275	2534
98	277	2528
99	280	2524
100	283	2519
101	285	2512
102	288	2508
103	290	2503
104	293	2500
105	295	2496
106	298	2490
107	301	2487
108	303	2481
109	306	2477
110	308	2472
111	311	2469
112	314	2465
113	316	2460
114	319	2455
115	322	2458
116	325	2452
117	327	2447
118	330	2443
119	332	2439
120	335	2440
121	338	2436
122	341	2437
123	344	2433
124	346	2428
125	350	2428
126	352	2425
127	355	2421
128	358	2419
129	360	2415
130	363	2411
131	366	2412
132	369	2409
133	372	2405
134	375	2406
135	378	2401
136	380	2399
137	383	2398
138	386	2394
139	389	2390
140	392	2390
141	395	2388
142	398	2387
143	401	2386
144	404	2387
145	408	2388
146	410	2384
147	413	2380
148	416	2379
149	419	2375
150	421	2371
151	425	2371
152	427	2367
153	430	2363
154	433	2363
155	436	2360
156	438	2355
157	442	2356
158	444	2351
159	447	2350
160	450	2347
161	453	2343
162	456	2343
163	458	2339
164	461	2335
165	464	2334
166	467	2331
167	470	2329
168	473	2326
169	475	2322
170	478	2318
171	481	2318
172	484	2317
173	487	2314
174	490	2313
175	493	2309
176	496	2308
177	500	2309
178	503	2310
179	507	2312
180	510	2308
181	513	2306
182	516	2303
183	518	2299
184	521	2298
185	524	2296
186	527	2293
187	530	2292
188	533	2288
189	535	2284
190	539	2283
191	541	2279
192	544	2275
193	547	2273
194	549	2269
195	552	2265
196	555	2265
197	558	2262
198	561	2258
199	564	2258
200	566	2253
201	570	2252
202	573	2250
203	575	2246
204	578	2244
205	581	2242
206	584	2238
207	587	2236
208	590	2233
209	593	2231
210	596	2229
211	598	2225
212	601	2223
213	604	2221
214	607	2217
215	609	2213
216	612	2211
217	615	2207
218	618	2204
219	621	2202
220	623	2199
221	626	2195
222	629	2194
223	632	2190
224	635	2187
225	638	2185
226	640	2181
227	643	2177
228	646	2177
229	649	2173
230	651	2169
231	654	2168
232	657	2165
233	660	2160
234	663	2158
235	665	2155
236	668	2150
237	671	2148
238	673	2145
239	676	2141
240	679	2140
241	682	2136
242	684	2133
243	688	2132
244	691	2130
245	694	2127
246	696	2123
247	699	2120
248	701	2117
249	704	2114
250	707	2110
251	709	2107
252	712	2104
253	715	2100
254	718	2098
255	720	2095
256	723	2091
257	726	2088
258	729	2086
259	731	2082
260	734	2079
261	737	2076
262	739	2073
263	743	2072
264	746	2069
265	748	2065
266	752	2064
267	754	2061
268	757	2057
269	760	2054
270	762	2051
271	765	2048
272	768	2047
273	771	2044
274	774	2041
275	777	2039
276	779	2035
277	782	2032
278	785	2030
279	788	2028
280	791	2024
281	794	2022
282	797	2019
283	799	2015
284	802	2014
285	805	2011
286	808	2008
287	811	2005
288	814	2003
289	818	2002
290	820	1999
291	823	1995
292	826	1993
293	828	1989
294	831	1986
295	833	1983
296	836	1980
297	839	1977
298	842	1975
299	845	1972
300	847	1968
301	851	1969
302	854	1965
303	857	1963
304	860	1960
305	862	1956
306	865	1954
307	868	1951
308	870	1947
309	873	1944
310	876	1941
311	878	1938
312	881	1935
313	885	1934
314	888	1931
315	891	1928
316	893	1925
317	896	1922
318	899	1919
319	901	1915
320	904	1913
321	907	1910
322	909	1906
323	912	1904
324	915	1901
325	918	1897
326	921	1896
327	924	1893
328	927	1891
329	929	1887
330	932	1884
331	935	1881
332	937	1877
333	940	1874
334	942	1871
335	945	1869
336	948	1866
337	951	1862
338	954	1860
339	957	1857
340	959	1854
341	962	1851
342	964	1848
343	967	1844
344	969	1841
345	972	1838
346	975	1835
347	979	1834
348	981	1831
349	984	1828
350	987	1825
351	989	1821
352	992	1819
353	995	1817
354	998	1813
355	1001	1810
356	1003	1807
357	1006	1805
358	1009	1802
359	1011	1798
360	1014	1795
361	1016	1792
362	1019	1789
363	1022	1786
364	1024	1783
365	1027	1780
366	1030	1777
367	1032	1773
368	1035	1771
369	1038	1768
370	1040	1764
371	1043	1761
372	1046	1758
373	1048	1755
374	1052	1753
375	1054	1750
376	1057	1747
377	1060	1745
378	1063	1742
379	1065	1738
380	1068	1735
381	1070	1732
382	1073	1729
383	1076	1726
384	1079	1723
385	1081	1721
386	1084	1718
387	1087	1715
388	1090	1712
389	1093	1710
390	1096	1707
391	1098	1704
392	1101	1701
393	1103	1697
394	1106	1695
395	1110	1693
396	1113	1691
397	1116	1688
398	1119	1686
399	1122	1683
400	1125	1680
401	1127	1677
402	1129	1673
403	1132	1670
404	1135	1668
405	1137	1664
406	1140	1662
407	1143	1659
408	1146	1656
409	1148	1652
410	1150	1649
411	1153	1646
412	1156	1643
413	1158	1639
414	1161	1637
415	1163	1633
416	1165	1630
417	1168	1626
418	1170	1623
419	1173	1620
420	1176	1618
421	1178	1614
422	1181	1611
423	1184	1609
424	1186	1605
425	1189	1602
426	1192	1599
427	1195	1597
428	1197	1594
429	1200	1591
430	1202	1587
431	1205	1585
432	1208	1582
433	1211	1579
434	1213	1576
435	1216	1574
436	1219	1571
437	1222	1568
438	1224	1565
439	1227	1562
440	1230	1559
441	1233	1556
442	1235	1553
443	1237	1550
444	1240	1547
445	1243	1544
446	1245	1541
447	1248	1538
448	1250	1535
449	1253	1531
450	1255	1528
451	1258	1525
452	1260	1522
453	1263	1519
454	1266	1516
455	1269	1514
456	1272	1511
457	1275	1509
458	1277	1506
459	1280	1503
460	1282	1499
461	1285	1496
462	1287	1493
463	1290	1490
464	1292	1487
465	1295	1484
466	1298	1482
467	1301	1479
468	1303	1476
469	1306	1473
470	1309	1470
471	1311	1467
472	1314	1464
473	1316	1461
474	1319	1457
475	1321	1454
476	1324	1451
477	1326	1448
478	1329	1445
479	1331	1442
480	1334	1439
481	1336	1436
482	1339	1433
483	1341	1430
484	1344	1427
485	1347	1424
486	1349	1421
487	1352	1418
488	1354	1415
489	1357	1412
490	1360	1409
491	1362	1406
492	1365	1403
493	1367	1400
494	1369	1397
495	1372	1394
496	1375	1391
497	1377	1388
498	1380	1385
499	1382	1382
500	1385	1379
501	1388	1377
502	1391	1374
503	1393	1371
504	1396	1368
505	1398	1365
506	1401	1362
507	1404	1359
508	1407	1357
509	1409	1354
510	1412	1351
511	1415	1348
512	1417	1345
513	1420	1343
514	1422	1339
515	1425	1337
516	1427	1334
517	1430	1331
518	1433	1328
519	1435	1325
520	1438	1322
521	1441	1319
522	1444	1317
523	1446	1314
524	1449	1311
525	1451	1308
526	1454	1305
527	1456	1302
528	1459	1299
529	1461	1296
530	1464	1293
531	1467	1290
532	1469	1287
533	1472	1284
534	1474	1281
535	1476	1278
536	1479	1275
537	1482	1272
538	1484	1270
539	1487	1267
540	1490	1264
541	1492	1261
542	1495	1258
543	1497	1255
544	1500	1252
545	1502	1249
546	1505	1246
547	1508	1244
548	1511	1241
549	1513	1238
550	1516	1235
